question_id,display_id,stem_markdown_preview,curriculum_theme_model,knowledge_unit_model,skill_tags_model,primary_knowledge_model,primary_confidence,runner_up_primary,classification_margin,tag_evidence,primary_knowledge_teacher,secondary_knowledge_model,difficulty_model,difficulty_teacher,difficulty_basis,ability_tags_model,teaching_tag_model,error_prone_points_model,review_status,review_notes
exam_4a8a8319c6b6_q013,EXAM-4A8A8319C6B6-Q013,### 13. 若曲线 $y = (x + a)e^{x}$ 有两条过坐标原点的切线，则 $a$ 的取值范围是 \_\_\_\_.,T7导数,U7.1 导数概念与几何意义（切线）,导数几何意义；切线斜率；切线方程,导数与微分·切线方程·求切线,0.821,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,切线,,,3,,model_estimated,数形结合；分类讨论,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
exam_4a8a8319c6b6_q014,EXAM-4A8A8319C6B6-Q014,"### 14. 已知函数 $f(x) = |e^x - 1|, x_1 < 0, x_2 > 0$ ，函数 $f(x)$ 的图象在点 $A(x_1, f(x_1",T7导数,U7.1 导数概念与几何意义（切线）,导数几何意义；切线斜率；切线方程,导数与微分·切线方程·求切线,0.821,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,切线,,,3,,model_estimated,数形结合；分类讨论,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
exam_4a8a8319c6b6_q015,EXAM-4A8A8319C6B6-Q015,### 15. 求下列函数的导数: (1) $y = \mathrm{e}^{-x}(x + 1)^{2};$ (2) $y = \cos(3x - 1) - ,T7导数,U7.2 导数运算（基本函数/复合/隐函数）,基本函数求导；复合函数求导；导数运算,导数与微分·求导运算·基本函数求导,0.716,函数综合·函数性质·奇偶性与周期性,0.6,导数,,,3,,model_estimated,运算求解；逻辑推理,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_4a8a8319c6b6_q016,EXAM-4A8A8319C6B6-Q016,### 16. 已知函数 $F(x) = \mathrm{e}^{x - 1} + \frac{1}{3} x$ ， $G(x) = -x + m\sin x ,T7导数,U7.1 导数概念与几何意义（切线）,导数几何意义；切线斜率；切线方程,导数与微分·切线方程·求切线,0.949,函数综合·函数性质·奇偶性与周期性,0.9,切线方程；切线,,,3,,model_estimated,运算求解；逻辑推理；数形结合,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
exam_d0f98e715d39_q001,EXAM-D0F98E715D39-Q001,"### 1. 曲线 $y = \frac{e^x}{x + 1}$ 在点 $\left(1, \frac{e}{2}\right)$ 处的切线方程为（） A. ",T7导数,U7.1 导数概念与几何意义（切线）,导数几何意义；切线斜率；切线方程,导数与微分·切线方程·求切线,0.967,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,切线方程；切线,,,3,,model_estimated,运算求解；数形结合,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
exam_d0f98e715d39_q002,EXAM-D0F98E715D39-Q002,### 2. 若 $f(x) = ax^{4} + bx^{2} + c$ 满足 $f'(1) = 2$ ，则 $f'(-1) =$ A. -4 B. -2 C,T7导数,U7.2 导数运算（基本函数/复合/隐函数）,基本函数求导；复合函数求导；导数运算,导数与微分·求导运算·基本函数求导,0.81,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,导数符号,,,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_d0f98e715d39_q003,EXAM-D0F98E715D39-Q003,"### 3. 曲线 $y = x\mathrm{e}^{x} - x$ 在点 $P$ 处切线的斜率为-1，则 $P$ 的坐标为（） A. $(-1, -1)$ ",T7导数,U7.1 导数概念与几何意义（切线）,导数几何意义；切线斜率；切线方程,导数与微分·切线方程·求切线,0.868,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,切线；斜率,,,3,,model_estimated,数形结合,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
exam_d0f98e715d39_q004,EXAM-D0F98E715D39-Q004,### 4. 设 $f(x)$ 、 $g(x)$ 分别是定义在R上的奇函数和偶函数，当x<0时， $f'(x)g(x)+f(x)g'(x)>0$ 。且 $g(-,T2函数,U2.1 函数概念与性质（单调/奇偶/周期）,函数奇偶性；函数周期性；函数对称性,函数综合·函数性质·奇偶性与周期性,0.723,导数应用·不等式证明·构造函数证明,0.273,函数奇偶性,,T7导数·U7.2 导数运算（基本函数/复合/隐函数）·基本函数求导,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_d0f98e715d39_q005,EXAM-D0F98E715D39-Q005,"### 5. 已知函数 $f(x) = ae^{x} - \ln x$ 在区间(1,2)上单调递增，则 $a$ 的最小值为（）. A. $e^{2}$ B. e",T7导数,U7.4 导数与极值/最值,利用导数求最值；端点与极值比较；函数建模最值,导数应用·极值与最值·求最值,0.692,导数应用·单调性·判断单调区间,0.222,最大/最小值,,T7导数·U7.3 导数与函数单调性·导数符号判断,3,,model_estimated,运算求解,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
exam_d0f98e715d39_q006,EXAM-D0F98E715D39-Q006,### 6. 已知函数 $f(x)$ 是定义在 $R$ 上的偶函数， $f'(x)$ 是 $f(x)$ 的导函数， $f(x) + f'(x) = 2\math,T7导数,U7.2 导数运算（基本函数/复合/隐函数）,基本函数求导；复合函数求导；导数运算,导数与微分·求导运算·基本函数求导,0.799,函数综合·函数性质·奇偶性与周期性,0.312,求导；导数符号,,,3,,model_estimated,分类讨论,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_d0f98e715d39_q007,EXAM-D0F98E715D39-Q007,"### 7. 已知 $a = \sin 0.5, b = 3^{0.5}, c = \log_{0.3} 0.5$ ，则 $a, b, c$ 的大小关系是（） ",T2函数,U2.1 函数概念与性质（单调/奇偶/周期）,函数奇偶性；函数周期性；函数对称性,函数综合·函数性质·奇偶性与周期性,0.755,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,三角函数性质,,,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_d0f98e715d39_q008,EXAM-D0F98E715D39-Q008,"### 8. 已知定义在 $R$ 上的函数 $f(x)$ 的导数为 $f'(x), f(1) = \mathrm{e}$ , 且对任意的 $x$ 满足 $f'(",T7导数,U7.2 导数运算（基本函数/复合/隐函数）,基本函数求导；复合函数求导；导数运算,导数与微分·求导运算·基本函数求导,0.759,导数应用·不等式证明·构造函数证明,0.333,导数符号；导数,,,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_d0f98e715d39_q009,EXAM-D0F98E715D39-Q009,"### 9. 过点 $(-1, -1)$ 且与曲线 $y = 3x^{3} + 2$ 相切的直线方程可能为（） A. $8x - y + 7 = 0$ B. $",T7导数,U7.1 导数概念与几何意义（切线）,导数几何意义；切线斜率；切线方程,导数与微分·切线方程·求切线,0.832,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,相切/切点,,,3,,model_estimated,运算求解,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
exam_d0f98e715d39_q010,EXAM-D0F98E715D39-Q010,### 10. 已知 $0 < x_{1} < x_{2} < 1$ ，则下列不等式恒成立的是（） A. $x_{2} \cdot e^{x_{1}} > x_,T7导数,U7.5 导数与不等式证明,构造函数；导数证明不等式；极值点偏移,导数应用·不等式证明·构造函数证明,0.98,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,不等式证明；恒成立；不等式,,,3,,model_estimated,分类讨论,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_d0f98e715d39_q011,EXAM-D0F98E715D39-Q011,### 11. 已知函数 $f(x) = \frac{\ln(e^x + 1)}{x}$ ，则下列结论中正确地是( ) A. 当 $x < 0$ 时， $f(x,T7导数,U7.3 导数与函数单调性,导数符号判断；单调区间；含参单调性,导数应用·单调性·判断单调区间,0.81,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,导数符号与单调,,,3,,model_estimated,运算求解；数形结合；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
exam_d0f98e715d39_q012,EXAM-D0F98E715D39-Q012,"### 12. 已知函数 $f(x) = \ln x + x^2 + ax$ 的单调递减区间为 $\left(\frac{1}{2}, 1\right)$ ，则",T7导数,U7.3 导数与函数单调性,导数符号判断；单调区间；含参单调性,导数应用·单调性·判断单调区间,0.81,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,导数符号与单调,,,3,,model_estimated,运算求解；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
exam_d0f98e715d39_q013,EXAM-D0F98E715D39-Q013,"### 13. 定义在R上的函数 $f(x)$ 的导函数为 $f'(x)$ ，且有 $f(-3) = -12, f(-x) + f(x) = 0$ ，且对任意 ",T7导数,U7.2 导数运算（基本函数/复合/隐函数）,基本函数求导；复合函数求导；导数运算,导数与微分·求导运算·基本函数求导,0.923,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,求导；导数符号,,,3,,model_estimated,分类讨论,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_d0f98e715d39_q014,EXAM-D0F98E715D39-Q014,"### 14. 已知对任意 $x_{1}, x_{2} \in (0, +\infty)$ ，且当 $x_{1} < x_{2}$ 时，都有 $\frac{a(",T7导数,U7.2 导数运算（基本函数/复合/隐函数）,基本函数求导；复合函数求导；导数运算,导数与微分·求导运算·基本函数求导,0.755,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,默认求导运算,,,3,,model_estimated,分类讨论,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_d0f98e715d39_q015,EXAM-D0F98E715D39-Q015,### 15. 已知函数 $f(x) = \frac{e^x - a}{x} - a\ln x (a \in R)$ . (1)求曲线 $y=f(x)$ 在点 ,T7导数,U7.1 导数概念与几何意义（切线）,导数几何意义；切线斜率；切线方程,导数与微分·切线方程·求切线,0.868,导数应用·单调性·判断单调区间,0.45,切线方程；切线,,T7导数·U7.3 导数与函数单调性·导数符号判断,3,,model_estimated,运算求解；逻辑推理；数形结合,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
exam_d0f98e715d39_q016,EXAM-D0F98E715D39-Q016,### 16. 已知函数 $f(x) = a(\mathrm{e}^{x} + a) - x$ . (1)讨论 $f(x)$ 的单调性; (2)证明：当a>0时,T7导数,U7.3 导数与函数单调性,导数符号判断；单调区间；含参单调性,导数应用·单调性·判断单调区间,0.799,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,函数单调性,,T2函数·U2.1 函数概念与性质（单调/奇偶/周期）·构造函数,3,,model_estimated,逻辑推理；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
